target_kb,actual_kb,method,scope,AAE,ARE,WMRD,EAE,n_keys,sum_gt,sum_pred,seconds,slot_num,width,depth,bf_width,sketch_memory_bytes,model_param_bytes,hf_bytes,cm_bytes,bf_bytes,status,stage
20,19.9755859375,UCL-ML,ALL_GT,4.325170842824601,2.9156522827956253,0.9023941068139963,0.6541464948940305,3512,10000.0,23666.0,1.96,716,723,3,1808,29179,,11504,8724,227,ok,ALL_GT
20,19.9755859375,HISR+HF,ALL_GT,1.2051597329913077,0.7862327039118719,0.48966162786552214,1.3086383827030676,3512,10000.0,7287.533845424652,720.807,716,723,3,1808,29179,1613262868,11504,8724,227,ok,ALL_GT
20,19.9755859375,ALSketch,TEST_SPLIT,5.151356652500818,4.0092221410601665,2.1010666666666666,1.2625590199272008,,,,3.368,716,723,3,1808,,,11504,8724,227,ok,
20,19.9755859375,ML-Sketch,TEST_SPLIT,3.3345132142393057,2.631789744918597,1.360036789647738,1.0886860908727805,,,,4.292,716,723,3,1808,,,11504,8724,227,ok,
20,19.9755859375,TalentSketch,TEST_SPLIT,1.5074300612644185,0.2619290616753571,0.6148304743210474,1.6398236218389837,,,,3.675,716,723,3,1808,,,11504,8724,227,ok,
20,19.9755859375,DeepSketch,TEST_SPLIT,1.8883902094807645,0.8572641941380941,0.7702114201068878,1.6554403777735054,,,,3.095,716,723,3,1808,,,11504,8724,227,ok,
20,19.9755859375,ZoomSynth-GTT,TEST_SPLIT,5.851525672006622,4.401378604659352,2.3866422707557677,0.6310481999025477,,,,3.326,716,723,3,1808,,,11504,8724,227,ok,
40,39.7900390625,UCL-ML,ALL_GT,4.289009111617312,3.3294738389540597,0.8702660542508016,1.091130707890338,3512,10000.0,24617.0,2.151,1432,1446,3,3616,58109,,22928,17364,453,ok,ALL_GT
40,39.7900390625,HISR+HF,ALL_GT,0.8014173745786612,0.5982873845124873,0.27500282196716924,0.0942400317213572,3512,10000.0,10469.44681794045,1172.932,1432,1446,3,3616,58109,1613262868,22928,17364,453,ok,ALL_GT
40,39.7900390625,ALSketch,TEST_SPLIT,1.9807126511932005,1.5028406957000482,0.8078666666666666,0.9013251401471898,,,,3.465,1432,1446,3,3616,,,22928,17364,453,ok,
40,39.7900390625,ML-Sketch,TEST_SPLIT,1.5675913660929226,1.0785393746074983,0.6393682651837667,0.8283774931926473,,,,3.091,1432,1446,3,3616,,,22928,17364,453,ok,
40,39.7900390625,TalentSketch,TEST_SPLIT,1.4717339472896953,0.2528414450097808,0.6002712193012237,1.6453708624069918,,,,2.923,1432,1446,3,3616,,,22928,17364,453,ok,
40,39.7900390625,DeepSketch,TEST_SPLIT,2.080366332143613,1.072425881486902,0.8485120813369751,1.6558565272371908,,,,3.187,1432,1446,3,3616,,,22928,17364,453,ok,
40,39.7900390625,ZoomSynth-GTT,TEST_SPLIT,4.859332228844834,3.4948864374330597,1.9819596384048461,0.8957366858483766,,,,3.134,1432,1446,3,3616,,,22928,17364,453,ok,
60,59.8388671875,UCL-ML,ALL_GT,2.832289293849658,2.3235747462319085,0.6666219884059914,1.035274750816452,3512,10000.0,19843.0,2.32,2149,2170,3,5424,87423,,34448,26148,679,ok,ALL_GT
60,59.8388671875,HISR+HF,ALL_GT,0.37660771809476395,0.2822665788837763,0.1313836326189089,0.040199426420047146,3512,10000.0,10134.110765307825,1186.007,2149,2170,3,5424,87423,1613262868,34448,26148,679,ok,ALL_GT
60,59.8388671875,ALSketch,TEST_SPLIT,1.0660346518470087,0.7798371178113542,0.4348,0.6670838496996545,,,,3.634,2149,2170,3,5424,,,34448,26148,679,ok,
60,59.8388671875,ML-Sketch,TEST_SPLIT,0.722767839900572,0.46587810532634394,0.2947929096341133,0.257890409268418,,,,3.043,2149,2170,3,5424,,,34448,26148,679,ok,
60,59.8388671875,TalentSketch,TEST_SPLIT,1.469539179058393,0.2508552760072342,0.5993760464986165,1.6486728633252596,,,,2.924,2149,2170,3,5424,,,34448,26148,679,ok,
60,59.8388671875,DeepSketch,TEST_SPLIT,2.0752655727171985,1.0683219268760604,0.8464316515922546,1.655847490760877,,,,2.865,2149,2170,3,5424,,,34448,26148,679,ok,
60,59.8388671875,ZoomSynth-GTT,TEST_SPLIT,4.482083299417985,3.1935557020992773,1.8280923750559488,1.1839603739708586,,,,3.14,2149,2170,3,5424,,,34448,26148,679,ok,
80,79.8173828125,UCL-ML,ALL_GT,2.042995444191344,1.7070684533059586,0.529266403570243,0.8861003992467502,3512,10000.0,17113.0,2.447,2865,2893,3,7233,116497,,46064,34764,905,ok,ALL_GT
80,79.8173828125,HISR+HF,ALL_GT,0.18946902712439315,0.14554623179808945,0.06624268937081527,0.013341492926512544,3512,10000.0,10090.223678449642,1036.166,2865,2893,3,7233,116497,1613262868,46064,34764,905,ok,ALL_GT
80,79.8173828125,ALSketch,TEST_SPLIT,0.6430205949656751,0.43378588268265234,0.26226666666666665,0.4940473666058569,,,,3.522,2865,2893,3,7233,,,46064,34764,905,ok,
80,79.8173828125,ML-Sketch,TEST_SPLIT,0.4735606690566109,0.3502680523731163,0.19314961155255636,0.23311884562940222,,,,2.99,2865,2893,3,7233,,,46064,34764,905,ok,
80,79.8173828125,TalentSketch,TEST_SPLIT,1.501696657222562,0.2548739025063962,0.6124920099258423,1.6491068051251627,,,,2.957,2865,2893,3,7233,,,46064,34764,905,ok,
80,79.8173828125,DeepSketch,TEST_SPLIT,2.0733922538744856,1.066151957434122,0.8456675872802735,1.6558685791057854,,,,2.896,2865,2893,3,7233,,,46064,34764,905,ok,
80,79.8173828125,ZoomSynth-GTT,TEST_SPLIT,4.355904851796854,3.1870059913943045,1.7766283922195434,1.3552043025203062,,,,3.069,2865,2893,3,7233,,,46064,34764,905,ok,
100,99.4443359375,UCL-ML,ALL_GT,1.3294419134396356,1.1285737088757728,0.37960892719216227,0.6968928194397748,3512,10000.0,14599.0,2.217,3580,3616,3,9041,145235,,57296,43404,1131,ok,ALL_GT
100,99.4443359375,HISR+HF,ALL_GT,0.1853107468305598,0.1380139432820874,0.0648003997637539,0.015070424759594303,3512,10000.0,10086.645923223376,956.788,3580,3616,3,9041,145235,1613262868,57296,43404,1131,ok,ALL_GT
100,99.4443359375,ALSketch,TEST_SPLIT,0.4687806472703498,0.29955474221671724,0.1912,0.40674152720368184,,,,3.499,3580,3616,3,9041,,,57296,43404,1131,ok,
100,99.4443359375,ML-Sketch,TEST_SPLIT,0.3301217014511335,0.23366725175860376,0.13464563796520232,0.17198657486827784,,,,3.244,3580,3616,3,9041,,,57296,43404,1131,ok,
100,99.4443359375,TalentSketch,TEST_SPLIT,1.6491516905307926,0.36940303451807543,0.6726340028444926,1.6476881563278347,,,,3.996,3580,3616,3,9041,,,57296,43404,1131,ok,
100,99.4443359375,DeepSketch,TEST_SPLIT,2.072257527575535,1.0648730314155654,0.8452047702471415,1.6558914778672431,,,,3.095,3580,3616,3,9041,,,57296,43404,1131,ok,
100,99.4443359375,ZoomSynth-GTT,TEST_SPLIT,4.444720518592916,3.2753861361774397,1.812853342183431,1.3592520867987936,,,,3.249,3580,3616,3,9041,,,57296,43404,1131,ok,
120,119.4306640625,UCL-ML,ALL_GT,1.9951594533029613,1.641563795669456,0.5195180722891566,0.788214801349012,3512,10000.0,16975.0,2.449,4297,4340,3,10849,174485,,68752,52188,1357,ok,ALL_GT
120,119.4306640625,HISR+HF,ALL_GT,0.14516562099041072,0.10298758488640726,0.050748011392055085,0.039359776104999966,3512,10000.0,10092.281330185804,864.766,4297,4340,3,10849,174485,1613262868,68752,52188,1357,ok,ALL_GT
120,119.4306640625,ALSketch,TEST_SPLIT,0.34390323635174896,0.19930274930525538,0.14026666666666668,0.33761471029643886,,,,3.509,4297,4340,3,10849,,,68752,52188,1357,ok,
120,119.4306640625,ML-Sketch,TEST_SPLIT,0.2641441033688508,0.17059656760154707,0.10773557496070862,0.12158511434919461,,,,3.247,4297,4340,3,10849,,,68752,52188,1357,ok,
120,119.4306640625,TalentSketch,TEST_SPLIT,1.6488538699315318,0.3689251304842825,0.6725125317494075,1.6490164875717568,,,,2.983,4297,4340,3,10849,,,68752,52188,1357,ok,
120,119.4306640625,DeepSketch,TEST_SPLIT,2.071696023997157,1.0644900237504376,0.844975751654307,1.6558896332132438,,,,2.986,4297,4340,3,10849,,,68752,52188,1357,ok,
120,119.4306640625,ZoomSynth-GTT,TEST_SPLIT,4.473352005373384,3.271034392676117,1.8245311712582906,1.429488099808566,,,,3.047,4297,4340,3,10849,,,68752,52188,1357,ok,
